2025-08-24 11:06:41 | INFO     | __main__:run_stdio:243 - 启动MCP服务器 (stdio模式)...
2025-08-24 11:07:59 | INFO     | __main__:run_stdio:243 - 启动MCP服务器 (stdio模式)...
2025-08-24 11:07:59 | INFO     | __main__:_handle_recognize_captcha:167 - 初始化ddddocr引擎...
2025-08-24 11:07:59 | ERROR    | __main__:_handle_recognize_captcha:226 - 验证码识别处理失败: DdddOcr.__init__() got an unexpected keyword argument 'show_ad'
2025-08-24 11:08:11 | INFO     | __main__:run_stdio:243 - 启动MCP服务器 (stdio模式)...
2025-08-24 11:08:11 | INFO     | __main__:_handle_recognize_captcha:167 - 初始化ddddocr引擎...
2025-08-24 11:08:11 | INFO     | __main__:_handle_recognize_captcha:169 - ddddocr引擎初始化完成
2025-08-24 11:08:11 | INFO     | __main__:_handle_recognize_captcha:200 - 开始验证码识别...
2025-08-24 11:08:11 | ERROR    | __main__:_handle_recognize_captcha:204 - OCR识别失败: module 'PIL.Image' has no attribute 'ANTIALIAS'
2025-08-24 11:08:11 | ERROR    | __main__:_handle_recognize_captcha:226 - 验证码识别处理失败: 验证码识别失败: module 'PIL.Image' has no attribute 'ANTIALIAS'
2025-08-24 11:09:56 | INFO     | __main__:run_stdio:247 - 启动MCP服务器 (stdio模式)...
2025-08-24 11:09:56 | INFO     | __main__:_handle_recognize_captcha:171 - 初始化ddddocr引擎...
2025-08-24 11:09:56 | INFO     | __main__:_handle_recognize_captcha:173 - ddddocr引擎初始化完成
2025-08-24 11:09:56 | INFO     | __main__:_handle_recognize_captcha:204 - 开始验证码识别...
2025-08-24 11:09:56 | INFO     | __main__:_handle_recognize_captcha:222 - 验证码识别成功: 'TEST', 耗时: 0.082s
2025-08-24 11:10:03 | INFO     | __main__:run_stdio:247 - 启动MCP服务器 (stdio模式)...
2025-08-24 11:10:03 | INFO     | __main__:_handle_recognize_captcha:171 - 初始化ddddocr引擎...
2025-08-24 11:10:03 | INFO     | __main__:_handle_recognize_captcha:173 - ddddocr引擎初始化完成
2025-08-24 11:10:03 | INFO     | __main__:_handle_recognize_captcha:204 - 开始验证码识别...
2025-08-24 11:10:03 | INFO     | __main__:_handle_recognize_captcha:222 - 验证码识别成功: 'TEST', 耗时: 0.075s
2025-08-24 11:22:07 | INFO     | __main__:run_stdio:247 - 启动MCP服务器 (stdio模式)...
2025-08-24 11:22:19 | INFO     | __main__:run_stdio:247 - 启动MCP服务器 (stdio模式)...
2025-08-24 11:25:13 | INFO     | __main__:run_stdio:247 - 启动MCP服务器 (stdio模式)...
2025-08-24 11:28:28 | INFO     | __main__:run_stdio:247 - 启动MCP服务器 (stdio模式)...
2025-08-24 11:34:38 | INFO     | __main__:run_stdio:247 - 启动MCP服务器 (stdio模式)...
2025-08-24 11:34:55 | INFO     | __main__:run_stdio:247 - 启动MCP服务器 (stdio模式)...
2025-08-24 11:37:10 | INFO     | __main__:run_stdio:247 - 启动MCP服务器 (stdio模式)...
2025-08-24 11:43:19 | INFO     | __main__:run_stdio:247 - 启动MCP服务器 (stdio模式)...
2025-08-24 11:44:17 | INFO     | __main__:run_stdio:247 - 启动MCP服务器 (stdio模式)...
2025-08-24 12:00:33 | INFO     | __main__:run_stdio:501 - 启动MCP服务器 (stdio模式)...
2025-08-24 12:02:42 | INFO     | __main__:run_stdio:501 - 启动MCP服务器 (stdio模式)...
2025-08-24 12:02:59 | INFO     | __main__:run_stdio:501 - 启动MCP服务器 (stdio模式)...
2025-08-24 12:03:14 | INFO     | __main__:run_stdio:501 - 启动MCP服务器 (stdio模式)...
2025-08-24 12:17:47 | INFO     | __main__:run_stdio:501 - 启动MCP服务器 (stdio模式)...
2025-08-24 12:18:01 | INFO     | __main__:run_stdio:501 - 启动MCP服务器 (stdio模式)...
2025-08-24 12:18:23 | INFO     | __main__:run_stdio:501 - 启动MCP服务器 (stdio模式)...
2025-08-24 12:18:42 | INFO     | __main__:run_stdio:501 - 启动MCP服务器 (stdio模式)...
2025-08-24 12:19:57 | INFO     | __main__:run_stdio:501 - 启动MCP服务器 (stdio模式)...
2025-08-24 12:32:04 | INFO     | __main__:run_stdio:501 - 启动MCP服务器 (stdio模式)...
2025-08-24 12:35:45 | INFO     | __main__:run_stdio:247 - 启动MCP服务器 (stdio模式)...
2025-08-24 12:38:51 | INFO     | __main__:run_stdio:501 - 启动MCP服务器 (stdio模式)...
